Check_ID,Componente,Estado,Detalle
QA-01,Volumetría,PASS,"Registros evaluados: 8,096"
QA-02,Completitud Baseline,PASS,Verificación de nulos en línea base.
QA-03,Esquema Features,PASS,Total de variables analizadas: 65
QA-04,Score de Riesgo,PASS,Presencia de score de probabilidad.
QA-05,Alertas Operativas,PASS,Indicador binario de alerta presente.
QA-06,Gobernanza SSOT,PASS,Estructuras canónicas validadas correctamente.
QA-07,Calibración,PASS,Modelo verificado para inferencia probabilística.
QA-08,Estabilidad Territorial,PASS,Dimensiones geográficas consolidadas.
QA-09,Latencia Simulador,PASS,Inferencia unitaria optimizada < 50ms.
QA-10,Contrato Runtime,PASS,Inmutabilidad y conformidad Pydantic aseguradas.
