departamento,categoria_municipio,sexo,estrato,nivel_formacion,modalidad_linea,modalidad_credito,sector_ies,rango_valor_total,target_riesgo_mora,id_fila_modelo,grupo_validacion,prob_riesgo_mora,target_real,score_riesgo,sexo_dashboard,departamento_dashboard,estrato_dashboard,nivel_formacion_dashboard,modalidad_credito_dashboard,nivel_riesgo,alerta_activada
antioquia,ciudades y aglomeraciones,femenino,1,exterior,credito exterior,matricula,,i,0,0,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,exterior,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,exterior,credito exterior,matricula,,ii,0,1,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,exterior,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,especializacion universitaria,posgrado pais,matricula,oficial,ii,0,2,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,especializacion universitaria,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,maestria,posgrado pais,matricula,oficial,i,0,3,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,maestria,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,universitario,pregrado,matricula,oficial,i,0,4,antioquia__2022,0.04016826610815226,0,0.04016826610815226,femenino,antioquia,1,universitario,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,universitario,pregrado,matricula,oficial,iv,0,5,antioquia__2022,0.0340863765082355,0,0.0340863765082355,femenino,antioquia,1,universitario,matricula,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,universitario,pregrado,sostenimiento,oficial,i,0,6,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,universitario,sostenimiento,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,universitario,pregrado,sostenimiento,oficial,iii,0,7,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,universitario,sostenimiento,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,universitario,pregrado,sostenimiento,oficial,iv,0,8,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,universitario,sostenimiento,Bajo,0
antioquia,ciudades y aglomeraciones,femenino,1,especializacion universitaria,posgrado pais,matricula,privado,i,0,9,antioquia__2022,0.02837209079394979,0,0.02837209079394979,femenino,antioquia,1,especializacion universitaria,matricula,Bajo,0
