departamento_dashboard,segmentos,score_promedio,score_maximo,alertas,pct_alertas,departamento,ranking_prioridad,registros,tasa_alerta_pct
casanare,206,1.0,1.0,206,100.0,casanare,1,206,100.0
putumayo,412,0.9976267974047731,1.0,412,100.0,putumayo,2,412,100.0
arauca,195,0.9914709712445287,1.0,195,100.0,arauca,3,195,100.0
guainia,9,0.7932656813639861,0.8194444444444444,9,100.0,guainia,4,9,100.0
choco,32,0.7164767247219632,1.0,29,90.625,choco,5,32,90.62
cauca,433,0.6484128117111142,0.7426575145601694,99,22.863741339491916,cauca,6,433,22.86
norte de santander,446,0.6464416450678846,0.6849703948035252,115,25.784753363228702,norte de santander,7,446,25.78
bolivar,888,0.6382315405182222,1.0,139,15.653153153153154,bolivar,8,888,15.65
atlantico,731,0.6344110808381389,1.0,70,9.575923392612859,atlantico,9,731,9.58
quindio,235,0.6320647113631442,0.6775609698447222,6,2.553191489361702,quindio,10,235,2.55
caqueta,170,0.6314587177248874,0.6849703948035252,4,2.3529411764705883,caqueta,11,170,2.35
tolima,479,0.6263658101977946,0.743575506505982,7,1.4613778705636742,tolima,12,479,1.46
meta,364,0.6263583887975412,0.6537254761043382,6,1.6483516483516485,meta,13,364,1.65
boyaca,134,0.5875927630951024,1.0,9,6.7164179104477615,boyaca,14,134,6.72
vaupes,1,0.4807861400869671,0.4807861400869671,0,0.0,vaupes,15,1,0.0
magdalena,996,0.3537384249240192,0.540196822464932,0,0.0,magdalena,16,996,0.0
guaviare,53,0.14875817128772006,0.2,0,0.0,guaviare,17,53,0.0
risaralda,260,0.09726923994871997,0.1431818181818182,0,0.0,risaralda,18,260,0.0
cordoba,591,0.0463028796240767,0.31646869390771826,0,0.0,cordoba,19,591,0.0
antioquia,734,0.04154190467878779,0.18091188666374708,0,0.0,antioquia,20,734,0.0
valle del cauca,727,0.027474164936235144,0.027477236207820034,0,0.0,valle del cauca,21,727,0.0
